AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT
429,429,2016,856,360,5.79,0,Ranch3,_7235,Ranch3_7235
435,435,2016,632,480,4.48,0,Ranch3,_7235,Ranch3_7235
455,455,2016,899,400,6.32,0,Ranch3,_7235,Ranch3_7235
733,733,2016,732,430,5.99,0,Ranch15,_7255,Ranch15_7255
739,739,2016,620,340,6.11,0,Ranch15,_7255,Ranch15_7255
748,748,2016,686,330,5.97,0,Ranch15,_7255,Ranch15_7255
758,758,2016,871,330,4.73,0,Ranch15,_7255,Ranch15_7255
828,828,2016,822,380,5.16,0,Ranch15,_7255,Ranch15_7255
834,834,2016,749,380,4.39,0,Ranch15,_7255,Ranch15_7255
1409,1409,2016,739,300,6.17,0,Ranch7,_7235,Ranch7_7235
1441,1441,2016,821,310,4.48,0,Ranch6,_7365,Ranch6_7365
1450,1450,2016,823,380,6.83,10,Ranch16,_7145,Ranch16_7145
1462,1462,2016,797,460,5.41,0,Ranch6,_7365,Ranch6_7365
1467,1467,2016,789,380,5.39,0,Ranch16,_7365,Ranch16_7365
1472,1472,2016,775,380,5.8,0,Ranch6,_7365,Ranch6_7365
1490,1490,2016,745,390,6.06,10,Ranch16,_7145,Ranch16_7145
1492,1492,2016,669,390,6.67,10,Ranch16,_7145,Ranch16_7145
1495,1495,2016,771,420,4.72,10,Ranch16,_7145,Ranch16_7145
1528,1528,2016,674,420,6.77,10,Ranch16,_7145,Ranch16_7145
1529,1529,2016,810,320,4.62,10,Ranch16,_7145,Ranch16_7145
1535,1535,2016,853,320,6.96,10,Ranch16,_7145,Ranch16_7145
1538,1538,2016,886,400,6.41,10,Ranch16,_7145,Ranch16_7145
1547,1547,2016,795,360,5.37,10,Ranch16,_7145,Ranch16_7145
1548,1548,2016,793,520,6.34,10,Ranch16,_7145,Ranch16_7145
1557,1557,2016,852,620,5.28,10,Ranch16,_7145,Ranch16_7145
1558,1558,2016,757,430,4.8,10,Ranch16,_7145,Ranch16_7145
1560,1560,2016,871,460,4.94,0,STOFI-Parker,_7365,STOFI-Parker_7365
1597,1597,2016,868,430,5.73,0,Ranch12,_7365,Ranch12_7365
1653,1653,2016,732,340,6.68,21,Ranch4,_7375,Ranch4_7375
1663,1663,2016,788,410,7.07,0,Ranch10,_7375,Ranch10_7375
1668,1668,2016,817,330,6.25,0,Ranch4,_7205,Ranch4_7205
1675,1675,2016,757,330,4.74,21,Ranch4,_7375,Ranch4_7375
1682,1682,2016,852,280,4.01,21,Ranch4,_7375,Ranch4_7375
1689,1689,2016,804,370,4.42,21,Ranch4,_7375,Ranch4_7375
1695,1695,2016,863,310,8.18,21,Ranch4,_7375,Ranch4_7375
1698,1698,2016,884,410,5.81,21,Ranch4,_7375,Ranch4_7375
1704,1704,2016,897,370,6.6,0,Ranch10,_7375,Ranch10_7375
1707,1707,2016,758,320,5.33,21,Ranch4,_7375,Ranch4_7375
1711,1711,2016,767,320,6.69,0,Ranch10,_7375,Ranch10_7375
2447,2447,2016,695,340,6.73,0,Ranch16,_7445,Ranch16_7445
2457,2457,2016,837,370,5.72,0,Ranch16,_7445,Ranch16_7445
2466,2466,2016,841,300,6.11,0,Ranch16,_7445,Ranch16_7445
2473,2473,2016,873,400,7.04,0,Ranch6,_7445,Ranch6_7445
2485,2485,2016,785,330,6.42,0,Ranch16,_7445,Ranch16_7445
2494,2494,2016,784,340,6.75,0,Ranch16,_7445,Ranch16_7445
2570,2570,2016,862,380,5.33,0,Ranch9,_7485,Ranch9_7485
2595,2595,2016,836,300,6.17,0,Ranch9,_7485,Ranch9_7485
2610,2610,2016,988,330,5.45,0,Ranch9,_7485,Ranch9_7485
2618,2618,2016,905,380,5.66,0,Ranch9,_7485,Ranch9_7485
2684,2684,2016,773,320,,0,Ranch18,_7495,Ranch18_7495
2696,2696,2016,872,360,6.02,0,Ranch18,_7495,Ranch18_7495
2754,2754,2016,857,420,6.24,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2760,2760,2016,827,620,4.5,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2761,2761,2016,760,420,6.13,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2770,2770,2016,738,480,4.47,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2780,2780,2016,788,540,6.32,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2781,2781,2016,711,430,5.36,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2786,2786,2016,812,390,4.54,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2790,2790,2016,846,380,4.11,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2793,2793,2016,762,440,6.45,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2794,2794,2016,795,330,6.44,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2801,2801,2016,826,300,7.47,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2809,2809,2016,914,390,6.22,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2814,2814,2016,751,380,5.2,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2815,2815,2016,808,320,10.04,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2818,2818,2016,783,550,6.72,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2822,2822,2016,817,380,5.07,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2827,2827,2016,718,520,,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2831,2831,2016,745,400,6.01,0,STOFI-Bright,_7495,STOFI-Bright_7495
2834,2834,2016,702,420,4.7,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2836,2836,2016,753,340,4.49,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2837,2837,2016,718,640,4.86,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2843,2843,2016,808,520,4.22,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2853,2853,2016,805,380,5.15,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2860,2860,2016,765,440,6.32,0,STOFI-Bright,_7495,STOFI-Bright_7495
2862,2862,2016,801,420,6.28,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2876,2876,2016,695,420,6.88,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2883,2883,2016,666,470,6.27,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
2893,2893,2016,701,370,6.65,32,STOFI-Miccos,_7495,STOFI-Miccos_7495
10001,N10001,2017,952,440,5.384264,34,STOFI-StThom,_7596,STOFI-StThom_7596
10002,N10002,2017,891,390,7.02341,0,Ranch5,_7586,Ranch5_7586
10003,N10003,2017,958,320,4.455202,35,Ranch12,_7586,Ranch12_7586
10004,N10004,2017,953,410,5.62025,0,Ranch14,_7586,Ranch14_7586
10005,N10005,2017,849,510,5.87537,9,Ranch14,_7596,Ranch14_7596
10006,N10006,2017,724,410,4.317012,34,STOFI-StThom,_7596,STOFI-StThom_7596
10007,N10007,2017,844,410,,14,Ranch2,_7586,Ranch2_7586
10008,N10008,2017,741,420,5.308791,15,Ranch2,_7596,Ranch2_7596
10009,N10009,2017,805,380,4.765598,3,Ranch11,_7586,Ranch11_7586
10010,N10010,2017,874,420,4.965442,0,STOFI-StThom,_7586,STOFI-StThom_7586
