UFID_Corrected,YEAR,hcw,CG,Ranch,LOT,RanchLOT,PC1,PC2
1450,2016,823,10,Ranch16,_7145,Ranch16_7145,-0.000620287,-0.0298395
1490,2016,745,10,Ranch16,_7145,Ranch16_7145,0.00894044,-0.0461348
1492,2016,669,10,Ranch16,_7145,Ranch16_7145,-0.00529245,0.0457205
1495,2016,771,10,Ranch16,_7145,Ranch16_7145,-0.00380138,0.0203111
1528,2016,674,10,Ranch16,_7145,Ranch16_7145,-0.00941483,0.0344801
1529,2016,810,10,Ranch16,_7145,Ranch16_7145,0.00517338,-0.0273645
1535,2016,853,10,Ranch16,_7145,Ranch16_7145,0.009579,-0.0142663
1538,2016,886,10,Ranch16,_7145,Ranch16_7145,-0.00450485,-0.0425075
1547,2016,795,10,Ranch16,_7145,Ranch16_7145,-0.00623855,-0.0377778
1548,2016,793,10,Ranch16,_7145,Ranch16_7145,-0.00286179,0.0319551
1557,2016,852,10,Ranch16,_7145,Ranch16_7145,-0.00605402,-0.0265304
1558,2016,757,10,Ranch16,_7145,Ranch16_7145,-0.00302553,0.0480691
1653,2016,732,21,Ranch4,_7375,Ranch4_7375,0.014054,-0.0476521
1675,2016,757,21,Ranch4,_7375,Ranch4_7375,-0.00595271,-0.00526757
1682,2016,852,21,Ranch4,_7375,Ranch4_7375,0.000694478,-0.00324568
1689,2016,804,21,Ranch4,_7375,Ranch4_7375,-0.00574096,-0.036552
1695,2016,863,21,Ranch4,_7375,Ranch4_7375,0.00972943,-0.000816316
1698,2016,884,21,Ranch4,_7375,Ranch4_7375,0.000659907,0.0625676
1707,2016,758,21,Ranch4,_7375,Ranch4_7375,0.00663423,-0.0370007
2754,2016,857,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0133324,0.0451625
2760,2016,827,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0109169,0.00414441
2761,2016,760,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00304895,0.0160696
2770,2016,738,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00225091,0.0280021
2780,2016,788,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0109781,0.040087
2781,2016,711,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00528345,0.0179145
2786,2016,812,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0037259,0.010937
2790,2016,846,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00014621,0.00842694
2793,2016,762,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00171192,0.0271364
2794,2016,795,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.0167985,-0.055735
2801,2016,826,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00429492,0.00872768
2809,2016,914,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00405311,0.0343399
2814,2016,751,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.000450961,0.0272069
2815,2016,808,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00977517,-0.0156221
2818,2016,783,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0114484,0.0782715
