AnimalID,UFID_Corrected,YEAR,hcw,Marbling,WBSF,CG,Ranch,LOT,RanchLOT,PC1,PC2
429,429,2016,856,360,5.79,-999,Ranch3,_7235,Ranch3_7235,0.0100246,-0.0461264
435,435,2016,632,480,4.48,-999,Ranch3,_7235,Ranch3_7235,-0.00343275,0.00205765
455,455,2016,899,400,6.32,-999,Ranch3,_7235,Ranch3_7235,-0.00186232,-0.0154027
733,733,2016,732,430,5.99,-999,Ranch15,_7255,Ranch15_7255,-0.0085046,-0.040076
739,739,2016,620,340,6.11,-999,Ranch15,_7255,Ranch15_7255,0.00843944,0.0298401
748,748,2016,686,330,5.97,-999,Ranch15,_7255,Ranch15_7255,0.014732,0.0222229
758,758,2016,871,330,4.73,-999,Ranch15,_7255,Ranch15_7255,-0.00557544,-0.0388438
828,828,2016,822,380,5.16,-999,Ranch15,_7255,Ranch15_7255,-0.00343454,-0.0350992
834,834,2016,749,380,4.39,-999,Ranch15,_7255,Ranch15_7255,0.0155059,0.0232403
1409,1409,2016,739,300,6.17,-999,Ranch7,_7235,Ranch7_7235,0.000869776,-0.0354615
1441,1441,2016,821,310,4.48,-999,Ranch6,_7365,Ranch6_7365,-0.00738374,0.00703455
1450,1450,2016,823,380,6.83,10,Ranch16,_7145,Ranch16_7145,-0.000620287,-0.0298395
1462,1462,2016,797,460,5.41,-999,Ranch6,_7365,Ranch6_7365,0.00225248,-0.015759
1467,1467,2016,789,380,5.39,-999,Ranch16,_7365,Ranch16_7365,-0.00210605,0.00827269
1472,1472,2016,775,380,5.8,-999,Ranch6,_7365,Ranch6_7365,-0.00244157,-9.47986E-05
1490,1490,2016,745,390,6.06,10,Ranch16,_7145,Ranch16_7145,0.00894044,-0.0461348
1492,1492,2016,669,390,6.67,10,Ranch16,_7145,Ranch16_7145,-0.00529245,0.0457205
1495,1495,2016,771,420,4.72,10,Ranch16,_7145,Ranch16_7145,-0.00380138,0.0203111
1528,1528,2016,674,420,6.77,10,Ranch16,_7145,Ranch16_7145,-0.00941483,0.0344801
1529,1529,2016,810,320,4.62,10,Ranch16,_7145,Ranch16_7145,0.00517338,-0.0273645
1535,1535,2016,853,320,6.96,10,Ranch16,_7145,Ranch16_7145,0.009579,-0.0142663
1538,1538,2016,886,400,6.41,10,Ranch16,_7145,Ranch16_7145,-0.00450485,-0.0425075
1547,1547,2016,795,360,5.37,10,Ranch16,_7145,Ranch16_7145,-0.00623855,-0.0377778
1548,1548,2016,793,520,6.34,10,Ranch16,_7145,Ranch16_7145,-0.00286179,0.0319551
1557,1557,2016,852,620,5.28,10,Ranch16,_7145,Ranch16_7145,-0.00605402,-0.0265304
1558,1558,2016,757,430,4.8,10,Ranch16,_7145,Ranch16_7145,-0.00302553,0.0480691
1560,1560,2016,871,460,4.94,-999,STOFI-Parker,_7365,STOFI-Parker_7365,-0.00758377,0.0422323
1597,1597,2016,868,430,5.73,-999,Ranch12,_7365,Ranch12_7365,-0.0120057,-0.0250031
1653,1653,2016,732,340,6.68,21,Ranch4,_7375,Ranch4_7375,0.014054,-0.0476521
1663,1663,2016,788,410,7.07,-999,Ranch10,_7375,Ranch10_7375,-0.00581638,0.00676914
1668,1668,2016,817,330,6.25,-999,Ranch4,_7205,Ranch4_7205,-0.000812432,-0.03596
1675,1675,2016,757,330,4.74,21,Ranch4,_7375,Ranch4_7375,-0.00595271,-0.00526757
1682,1682,2016,852,280,4.01,21,Ranch4,_7375,Ranch4_7375,0.000694478,-0.00324568
1689,1689,2016,804,370,4.42,21,Ranch4,_7375,Ranch4_7375,-0.00574096,-0.036552
1695,1695,2016,863,310,8.18,21,Ranch4,_7375,Ranch4_7375,0.00972943,-0.000816316
1698,1698,2016,884,410,5.81,21,Ranch4,_7375,Ranch4_7375,0.000659907,0.0625676
1704,1704,2016,897,370,6.6,-999,Ranch10,_7375,Ranch10_7375,-0.00297187,-0.0438474
1707,1707,2016,758,320,5.33,21,Ranch4,_7375,Ranch4_7375,0.00663423,-0.0370007
1711,1711,2016,767,320,6.69,-999,Ranch10,_7375,Ranch10_7375,-0.000611367,-0.035124
2447,2447,2016,695,340,6.73,-999,Ranch16,_7445,Ranch16_7445,0.00988279,0.0145462
2457,2457,2016,837,370,5.72,-999,Ranch16,_7445,Ranch16_7445,-0.000908506,0.00215431
2466,2466,2016,841,300,6.11,-999,Ranch16,_7445,Ranch16_7445,0.00709094,-0.0238104
2473,2473,2016,873,400,7.04,-999,Ranch6,_7445,Ranch6_7445,-0.00944309,0.012353
2485,2485,2016,785,330,6.42,-999,Ranch16,_7445,Ranch16_7445,-0.00287272,-0.00769369
2494,2494,2016,784,340,6.75,-999,Ranch16,_7445,Ranch16_7445,0.0105464,-0.0059476
2570,2570,2016,862,380,5.33,-999,Ranch9,_7485,Ranch9_7485,0.0141106,0.0557666
2595,2595,2016,836,300,6.17,-999,Ranch9,_7485,Ranch9_7485,0.0162793,0.0585331
2610,2610,2016,988,330,5.45,-999,Ranch9,_7485,Ranch9_7485,0.011721,0.0577511
2618,2618,2016,905,380,5.66,-999,Ranch9,_7485,Ranch9_7485,0.0130869,0.0612097
2684,2684,2016,773,320,-999,-999,Ranch18,_7495,Ranch18_7495,0.00812246,0.000397255
2696,2696,2016,872,360,6.02,-999,Ranch18,_7495,Ranch18_7495,0.0174313,0.018621
2754,2754,2016,857,420,6.24,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0133324,0.0451625
2760,2760,2016,827,620,4.5,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0109169,0.00414441
2761,2761,2016,760,420,6.13,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00304895,0.0160696
2770,2770,2016,738,480,4.47,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00225091,0.0280021
2780,2780,2016,788,540,6.32,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0109781,0.040087
2781,2781,2016,711,430,5.36,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00528345,0.0179145
2786,2786,2016,812,390,4.54,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0037259,0.010937
2790,2790,2016,846,380,4.11,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00014621,0.00842694
2793,2793,2016,762,440,6.45,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00171192,0.0271364
2794,2794,2016,795,330,6.44,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.0167985,-0.055735
2801,2801,2016,826,300,7.47,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00429492,0.00872768
2809,2809,2016,914,390,6.22,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00405311,0.0343399
2814,2814,2016,751,380,5.2,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.000450961,0.0272069
2815,2815,2016,808,320,10.04,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00977517,-0.0156221
2818,2818,2016,783,550,6.72,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0114484,0.0782715
2822,2822,2016,817,380,5.07,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00931376,0.0249876
2827,2827,2016,718,520,-999,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00549606,0.0397782
2831,2831,2016,745,400,6.01,-999,STOFI-Bright,_7495,STOFI-Bright_7495,0.00173346,0.0283879
2834,2834,2016,702,420,4.7,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00174075,0.0248699
2836,2836,2016,753,340,4.49,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.000797969,0.0153634
2837,2837,2016,718,640,4.86,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.000410747,0.000744893
2843,2843,2016,808,520,4.22,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.0111365,0.0533234
2853,2853,2016,805,380,5.15,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00454785,0.00503196
2860,2860,2016,765,440,6.32,-999,STOFI-Bright,_7495,STOFI-Bright_7495,0.00198912,0.0141263
2862,2862,2016,801,420,6.28,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00593136,0.0478892
2876,2876,2016,695,420,6.88,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,0.00699577,0.044198
2883,2883,2016,666,470,6.27,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00230139,0.0172285
2893,2893,2016,701,370,6.65,32,STOFI-Miccos,_7495,STOFI-Miccos_7495,-0.00288783,0.00485655
10001,N10001,2017,952,440,5.384264,34,STOFI-StThom,_7596,STOFI-StThom_7596,0.00215953,-0.0255034
10002,N10002,2017,891,390,7.02341,-999,Ranch5,_7586,Ranch5_7586,0.00147416,-0.0216951
10003,N10003,2017,958,320,4.455202,35,Ranch12,_7586,Ranch12_7586,0.00179481,-0.0269237
10004,N10004,2017,953,410,5.62025,-999,Ranch14,_7586,Ranch14_7586,0.00487911,0.0109932
10005,N10005,2017,849,510,5.87537,9,Ranch14,_7596,Ranch14_7596,-0.00475187,0.036073
10006,N10006,2017,724,410,4.317012,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.0106102,0.00273726
10007,N10007,2017,844,410,-999,14,Ranch2,_7586,Ranch2_7586,-0.011786,-0.0173355
10008,N10008,2017,741,420,5.308791,15,Ranch2,_7596,Ranch2_7596,0.0159771,0.0492118
10009,N10009,2017,805,380,4.765598,3,Ranch11,_7586,Ranch11_7586,0.0140884,-0.0678559
10010,N10010,2017,874,420,4.965442,-999,STOFI-StThom,_7586,STOFI-StThom_7586,0.00762677,-0.0204706
10011,N10011,2017,756,380,6.11986,15,Ranch2,_7596,Ranch2_7596,0.0206958,0.0432989
10012,N10012,2017,718,370,4.390359,15,Ranch2,_7596,Ranch2_7596,-0.00208717,-0.00539088
10013,N10013,2017,862,410,4.602959,14,Ranch2,_7586,Ranch2_7586,-0.00642995,0.00693503
10014,N10014,2017,685,490,4.051262,34,STOFI-StThom,_7596,STOFI-StThom_7596,-0.00695155,-0.027419
10015,N10015,2017,955,390,4.479651,-999,STOFI-StThom,_7586,STOFI-StThom_7586,-0.0127908,0.000905026
10016,N10016,2017,809,490,4.827252,9,Ranch14,_7596,Ranch14_7596,-0.00975984,-0.00433753
